鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
北投區,建物,臺北市北投區公館路209巷36弄1~30號,0.0,住,,,1061109,土地0建物1車位0,一層,6,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0600505,60.9,3,2,1,有,無,有,14000,230,,0.0,0,6樓無電梯,RPSNMLMKKIMFFEA87CC
士林區,建物,臺北市士林區芝玉路一段197巷1~30號,0.0,住,,,1061109,土地0建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000720,160.99,3,2,2,有,有,有,105000,652,坡道平面,0.0,0,,RPTNMLMKKIMFFEA97CC
士林區,建物,臺北市士林區中正路181~210號,0.0,其他,,,1061109,土地0建物0車位0,一層,2,店面(店鋪),住商用,加強磚造,0610323,103.2,0,0,0,無,無,無,150000,1453,,0.0,0,,RPVNMLMKKIMFFEA18CC
士林區,建物,臺北市士林區德行東路241~270號,0.0,住,,,1061115,土地0建物1車位0,一層,4,店面(店鋪),商業用,鋼筋混凝土造,0660921,120.24,0,1,2,有,無,無,80000,665,,0.0,0,,RPWNMLMKKIMFFEA28CC
士林區,建物,臺北市士林區中山北路一段63巷1~30號,0.0,住,,,1061110,土地0建物1車位3,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950816,270.03,4,2,3,有,有,有,122700,454,坡道平面,0.0,0,,RPPOMLMKKIMFFEA67CC
大同區,建物,臺北市大同區承德路三段151~180號,0.0,商,,,1061031,土地0建物0車位0,全,4,透天厝,,加強磚造,,88.11,3,2,2,有,無,無,26000,295,,0.0,0,[ 僅租賃第四層 ],RPWNMLMKKIMFFBA97CC
大同區,建物,臺北市大同區市民大道一段181~210號,0.0,其他,,,1061122,土地0建物1車位0,十三層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0980724,90.25999999999999,2,1,1,有,有,有,50000,554,,0.0,0,,RPPOMLMKKIMFFBA37CC
大同區,建物,臺北市大同區南京西路31~60號,0.0,商,,,1061201,土地0建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0941208,48.78,1,1,1,有,有,有,28000,574,,0.0,0,,RPROMLMKKIMFFBA57CC
大同區,建物,臺北市大同區民生西路271~300號,0.0,商,,,1061128,土地0建物1車位1,三層,10,辦公商業大樓,商業用,鋼筋混凝土造,0800712,286.15000000000003,3,1,2,有,有,無,90000,315,升降平面,40.01,0,106年12月1日至106年12月31日為免租金裝潢期。,RPOPMLMKKIMFFBA37CC
中山區,建物,臺北市中山區南京東路二段91~120號,0.0,其他,,,1061116,土地0建物1車位0,十層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0990917,48.25,1,1,1,有,有,有,35000,725,,0.0,0,,RPQNMLMKKIMFFCA47CC
