鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
竹南鎮,房地(土地+建物),苗栗縣竹南鎮開元里3鄰平等街一段61~90號,15.02,商,,,1061122,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030929,145.91,3,2,2,有,無,5300000,36324,,0.0,0,,RPUNMLMLKIMFFDK88CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮正南里3鄰環市路一段150巷1~30號,85.59,住,,,1061110,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0940825,229.39,4,2,3,有,無,9500000,41414,,0.0,0,,RPSNMLPLKIMFFDK98CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮聖福里13鄰建國路288巷91~120號,225.0,工,,,1061101,土地2建物1車位0,一層,一層,廠辦,工業用,見其他登記事項,0770629,117.87,0,0,1,無,無,9850000,83567,,0.0,0,無隔間,一衛浴.,RPPNMLOKKIMFFDK48CA
苑裡鎮,土地,致民段631~660地號,3.33,,特定農業區,交通用地,1061102,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,48351,14520,,0.0,0,向政府機關承購之案件。,RPPNMLSKKIMFFCK78CA
苑裡鎮,土地,南勢林段91~120地號,195.0,,特定農業區,農牧用地,1061120,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1440000,7385,,0.0,0,含增建或未登記建物。,RPPNMLOLKIMFFCK48CA
苑裡鎮,土地,南勢林段91~120地號,75.0,,特定農業區,水利用地,1061120,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,360000,4800,,0.0,0,,SPPNMLOLKIMFFCK58CA
苗栗市,房地(土地+建物),苗栗縣苗栗市維新里9鄰新庄街1~30號,214.48,,鄉村區,乙種建築用地,1061101,土地2建物1車位0,全,,透天厝,住家用,加強磚造,,178.4,5,2,2,有,無,9330000,52298,,0.0,0,,RPSNMLMJJHNFFBK18CA
苑裡鎮,土地,興隆段571~600地號,193.6,,山坡地保育區,丙種建築用地,1061121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1980000,10227,,0.0,0,,RPPNMLOKKIMFFCK38CA
苗栗市,土地,維祥段維祥小段271~300地號,225.0,,特定農業區,農牧用地,1061129,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,11111,,0.0,0,,RPSNMLOKKIMFFBK58CA
卓蘭鎮,土地,大坪林段1891~1920地號,2500.0,,山坡地保育區,農牧用地,1061128,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5100000,2040,,0.0,0,含增建或未登記建物。,RPPNMLPKKIMFFAK28CA
卓蘭鎮,土地,大坪林段2701~2730地號,2534.0,,山坡地保育區,農牧用地,1060812,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,1381,,0.0,0,,RPPNMLPLKIMFFAK38CA
公館鄉,房地(土地+建物),苗栗縣公館鄉鶴岡村8鄰鶴岡241~270號,39.0,,特定農業區,甲種建築用地,1061115,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0941003,71.82,4,2,3,有,無,2000000,27847,,0.0,0,親友、員工或其他特殊關係間之交易。,RPRNMLPKKIMFFBK58CA
苑裡鎮,土地,苑東段61~90地號,12.41,住,,,1061128,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,24174,,0.0,0,,RPPNMLPKKIMFFCK48CA
苑裡鎮,土地,火炎山段841~870地號,2000.0,,特定農業區,農牧用地,1061013,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8470000,4235,,0.0,0,,RPPNMLQKKIMFFCK58CA
苑裡鎮,土地,火炎山段841~870地號,5316.08,,特定農業區,農牧用地,1061013,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22513598,4235,,0.0,0,,RPQNMLQKKIMFFCK68CA
通霄鎮,土地,楓樹窩段91~120地號,66.21,,山坡地保育區,丙種建築用地,1061128,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,234576,3543,,0.0,0,買方負擔增值稅34576元。交易含土地地上物。,RPRNMLPLKIMFFCK78CA
通霄鎮,土地,南和段571~600地號,702.0,,山坡地保育區,暫未編定,1061116,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1450000,2066,,0.0,0,本案土地上有未辦理保存登記之建物一棟,RPPNMLNKKIMFFCK28CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮開元里3鄰平等街一段61~90號,15.02,商,,,1061116,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030929,141.57,3,2,2,有,有,5500000,38850,坡道平面,0.0,0,,RPRNMLOKKIMFFDK68CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮龍鳳里12鄰龍安街37巷1~30號,81.17,住,,,1061026,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1050801,191.07,4,3,3,有,無,10200000,53384,,0.0,0,,RPUNMLOKKIMFFDK98CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮山佳里5鄰龍山路三段121~150號,23.48,商,,,1060912,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051208,170.07999999999998,3,2,2,有,有,7280000,51933,坡道平面,47.23,900000,,RPROMLKLKIMFFDK48CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮山佳里5鄰龍山路三段121~150號,23.87,商,,,1061015,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051208,174.35,3,2,2,有,有,7500000,51919,坡道平面,47.23,900000,,RPSOMLKLKIMFFDK58CA
銅鑼鄉,房地(土地+建物),苗栗縣銅鑼鄉雙峰路文陵巷1~30號,173.12,,山坡地保育區,丙種建築用地,1061123,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1060626,210.36,4,3,4,有,無,7080000,33657,,0.0,0,,RPSNMLTKKIMFFEK76CA
西湖鄉,土地,二湖段1681~1710地號,2095.1,,特定農業區,農牧用地,1061125,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3300000,1575,,0.0,0,,RPXNMLLLKIMFFEK56CA
三義鄉,土地,雙連潭段601~630地號,21955.0,,山坡地保育區,林業用地,1061119,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3600000,164,,0.0,0,,RPPNMLPKKIMFFEK68CA
頭份巿,房地(土地+建物),苗栗縣頭份鎮蟠桃里7鄰華美街35巷1~30號,95.91,住,,,1061030,土地2建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,0961025,186.62,3,2,3,有,無,9500000,50906,,0.0,0,,RPPNMLOKKIMFFFK68CA
南庄鄉,土地,北獅里興段北獅里興小段241~270地號,529.0,,山坡地保育區,林業用地,1051014,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1600000,3025,,0.0,0,,RPRNMLOKKIMFFFK88CA
南庄鄉,土地,田尾段241~270地號,247.0,,山坡地保育區,農牧用地,1061124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,1215,,0.0,0,,RPPNMLSKKIMFFFK09CA
南庄鄉,土地,北獅里興段北獅里興小段331~360地號,51185.0,,山坡地保育區,林業用地,1060510,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16000000,313,,0.0,0,,RPUNMLOKKIMFFFK56CA
頭份巿,土地,尖山下段1111~1140地號,3604.67,,山坡地保育區,農牧用地,1061029,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2300000,638,,0.0,0,,RPVNMLOKKIMFFFK66CA
