編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLLKKIMFFDN98CA,11,222.76,見其他登記事項,鋼筋混凝土造,95年5月15日,四層,一層 二層 三層 四層
RPWNMLRJKIMFFFN27CA,22,170.72,住商用,鋼筋混凝土造,85年2月9日,四層,一層 二層 三層 四層 騎樓
RPSNMLNKKIMFFFN56CA,16,188.02,住家用,鋼筋混凝土造,90年6月4日,四層,一層 二層 三層 四層
RPUOMLKKKIMFFCN88CA,,213.93,見其他登記事項,鋼筋混凝土造,106年5月4日,四層,一層 二層 三層 四層
RPPOMLQJKIMFFDN98CA,1,156.54,見其他登記事項,鋼筋混凝土造,105年9月22日,四層,一層 二層 三層 四層 地下一層
RPPOMLQJKIMFFDN98CA,1,63.59,共有部分,鋼筋混凝土造,105年9月22日,四層,
RPTNMLQKJIMFFDN66CA,2,177.39,見其他登記事項,鋼筋混凝土造,106年5月26日,三層,一層 二層 三層 屋頂突出物
RPTNMLLKKIMFFDN88CA,26,173.29,住家用,鋼筋混凝土造,81年4月10日,三層,一層 二層 三層
RPWNMLKKKIMFFCN98CA,,161.17,見其他登記事項,鋼筋混凝土造,106年5月4日,三層,一層 二層 三層 屋頂突出物
RPPOMLKKKIMFFCN38CA,,183.89,見其他登記事項,鋼筋混凝土造,106年5月4日,三層,一層 二層 三層 屋頂突出物
RPQOMLKKKIMFFCN48CA,,161.96,見其他登記事項,鋼筋混凝土造,106年5月4日,三層,一層 二層 三層 屋頂突出物 騎樓
RPSOMLKKKIMFFCN68CA,,188.96,見其他登記事項,鋼筋混凝土造,106年5月4日,三層,一層 二層 三層 屋頂突出物
RPXNMLKKKIMFFCN09CA,,161.17,見其他登記事項,鋼筋混凝土造,106年5月4日,三層,一層 二層 三層 屋頂突出物
RPPNMLPLJIMFFCN78CA,4,182.52,見其他登記事項,鋼筋混凝土造,102年10月15日,四層,一層 二層 三層 四層 騎樓
RPOOMLKKKIMFFCN28CA,,183.89,見其他登記事項,鋼筋混凝土造,106年5月4日,三層,一層 二層 三層 屋頂突出物
RPRNMLKMJIMFFCN58CA,5,203.94,住家用,鋼筋混凝土造,101年6月1日,四層,一層 二層 三層 四層
RPRNMLKMJIMFFCN58CA,5,.18,見其他登記事項,鋼筋混凝土造,101年6月1日,一層,
RPSOMLOLJIMFFBN98CA,23,148.53,住家用,鋼筋混凝土造,84年3月25日,三層,一層 二層 三層
RPROMLKKKIMFFCN58CA,,188.96,見其他登記事項,鋼筋混凝土造,106年5月4日,三層,一層 二層 三層 屋頂突出物
RPQNMLSLJIMFFBN09CA,39,115.24,住家用,加強磚造,67年12月18日,二層,一層 二層 騎樓
RPPNMLMKKIMFFAN28CA,45,69.51,住家用,鋼筋混凝土加強磚造,61年12月20日,三層,一層 二層 三層
RPRNMLKLJIMFFAN28CA,29,133.79,住家用,鋼筋混凝土造,78年3月2日,五層,二層
RPPOMLRKJIMFFAN78CA,5,246.23,見其他登記事項,鋼筋混凝土造,101年12月25日,四層,一層 二層 三層 四層 地下一層
RPPOMLRKJIMFFAN78CA,5,27.42,見其他登記事項,鋼筋混凝土造,101年12月25日,四層,
RPQNMLMKKIMFFAN38CA,18,223.04,見其他登記事項,鋼筋混凝土造,88年7月2日,三層,一層 二層 三層 地下一層 地下二層
RPOOMLRLJIMFFAN78CA,31,155.12,見其他登記事項,鋼筋混凝土造,75年6月26日,四層,二層 三層 四層 騎樓 地下層
RPTNMLSLJIMFFAN66CA,38,108.76,住商用,加強磚造,68年11月5日,二層,一層 二層 騎樓
RPUNMLSLJIMFFAN76CA,30,310.91,住商用,鋼筋混凝土造,77年2月11日,四層,一層 二層 三層 四層 騎樓 地下層
RPSNMLSLJIMFFAN56CA,16,53.72,見其他登記事項,鋼筋混凝土造,90年11月9日,十四層,十二層
RPSNMLSLJIMFFAN56CA,16,8.57,見其他登記事項,鋼筋混凝土造,90年11月9日,十四層,
RPSNMLSLJIMFFAN56CA,16,18.60,見其他登記事項,鋼筋混凝土造,90年11月9日,十四層,
RPXNMLKMJIMFFAN98CA,39,110.20,住商用,鋼筋混凝土造,67年4月25日,三層,一層 二層 三層
