鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,九層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,47.44,1,1,1,有,有,有,8306,175,,0.0,0,,RPQQMLQKJHNFFCF58CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,九層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,46.06,1,1,1,有,有,有,8400,182,,0.0,0,,RPRQMLQKJHNFFCF68CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,九層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,79.65,1,1,1,有,有,有,14500,182,,0.0,0,,RPSQMLQKJHNFFCF78CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,九層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,32.89,1,1,1,有,有,有,5700,173,,0.0,0,,RPTQMLQKJHNFFCF88CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,十層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,47.43,1,1,1,有,有,有,8659,183,,0.0,0,,RPUQMLQKJHNFFCF98CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,十層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,60.61,1,1,1,有,有,有,10609,175,,0.0,0,,RPVQMLQKJHNFFCF09CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,十層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,47.44,1,1,1,有,有,有,8600,181,,0.0,0,,RPXQMLQKJHNFFCF66CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,十層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,31.39,1,1,1,有,有,有,5688,181,,0.0,0,,RPORMLQKJHNFFCF48CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,十層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,47.44,1,1,1,有,有,有,8310,175,,0.0,0,,RPPRMLQKJHNFFCF58CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,十層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,60.61,1,1,1,有,有,有,11006,182,,0.0,0,,RPQRMLQKJHNFFCF68CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,十層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,60.61,1,1,1,有,有,有,10699,177,,0.0,0,,RPRRMLQKJHNFFCF78CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,十層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,46.06,1,1,1,有,有,有,8311,180,,0.0,0,,RPURMLQKJHNFFCF09CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,十層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,79.65,1,1,1,有,有,有,14506,182,,0.0,0,,RPVRMLQKJHNFFCF56CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,十層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,32.89,1,1,1,有,有,有,6008,183,,0.0,0,,RPWRMLQKJHNFFCF66CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,十層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,32.89,1,1,1,有,有,有,6008,183,,0.0,0,,RPXRMLQKJHNFFCF76CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070110,土地0建物1車位0,十一層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,47.43,1,1,1,有,有,有,8400,177,,0.0,0,,RPOSMLQKJHNFFCF58CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,十一層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,60.61,1,1,1,有,有,有,10800,178,,0.0,0,,RPPSMLQKJHNFFCF68CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070110,土地0建物1車位0,十一層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,47.44,1,1,1,有,有,有,8400,177,,0.0,0,,RPQSMLQKJHNFFCF78CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,十一層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,79.65,1,1,1,有,有,有,14300,180,,0.0,0,,RPRSMLQKJHNFFCF88CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,十一層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,59.839999999999996,1,1,1,有,有,有,10330,173,,0.0,0,,RPSSMLQKJHNFFCF98CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,十一層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,59.769999999999996,1,1,1,有,有,有,10300,172,,0.0,0,,RPTSMLQKJHNFFCF09CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,十一層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,79.65,1,1,1,有,有,有,14300,180,,0.0,0,,RPUSMLQKJHNFFCF56CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,十一層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,47.44,1,1,1,有,有,有,8500,179,,0.0,0,,RPVSMLQKJHNFFCF66CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070110,土地0建物1車位0,十一層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,60.61,1,1,1,有,有,有,10700,177,,0.0,0,,RPWSMLQKJHNFFCF76CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070110,土地0建物1車位0,十一層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,60.61,1,1,1,有,有,有,10700,177,,0.0,0,,RPXSMLQKJHNFFCF86CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,十一層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,79.65,1,1,1,有,有,有,14510,182,,0.0,0,,RPOTMLQKJHNFFCF68CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,十一層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,69.94,1,1,1,有,有,有,12457,178,,0.0,0,,RPPTMLQKJHNFFCF78CC
新店區,建物,新北市新店區中央路151~180號,0.0,其他,,,1070109,土地0建物1車位0,十一層,29,辦公商業大樓,見其他登記事項,見其他登記事項,1011114,32.89,1,1,1,有,有,有,6003,183,,0.0,0,,RPQTMLQKJHNFFCF88CC
