鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,4.74,商,,,1061023,土地1建物1車位0,七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,63.010000000000005,1,1,1,有,有,11436000,181495,,0.0,0,,YPQOMLNJJHNFFBA87CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,7.61,商,,,1061023,土地1建物1車位0,七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,101.52,3,2,2,有,有,18426000,181501,,0.0,0,,ZPQOMLNJJHNFFBA97CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,5.97,商,,,1061023,土地1建物1車位0,七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,79.55,2,2,1,有,有,14436000,181471,,0.0,0,,QQQOMLNJJHNFFBA17CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,8.72,商,,,1061023,土地1建物1車位0,九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,116.06,3,2,2,有,有,21066000,181510,,0.0,0,,RQQOMLNJJHNFFBA27CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,5.12,商,,,1061023,土地1建物1車位0,九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,68.24,2,2,1,有,有,12384000,181477,,0.0,0,,SQQOMLNJJHNFFBA37CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,6.01,商,,,1061023,土地1建物1車位0,九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,80.07000000000001,2,2,1,有,有,14532000,181491,,0.0,0,,TQQOMLNJJHNFFBA47CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,6.48,商,,,1061023,土地1建物1車位0,九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,86.97,2,2,1,有,有,15786000,181511,,0.0,0,,UQQOMLNJJHNFFBA57CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,5.12,商,,,1061023,土地1建物1車位0,九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,68.25,2,2,1,有,有,12390000,181538,,0.0,0,,VQQOMLNJJHNFFBA67CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,8.77,商,,,1061023,土地1建物1車位0,九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,117.07000000000001,3,2,2,有,有,21246000,181481,,0.0,0,,WQQOMLNJJHNFFBA77CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,4.72,商,,,1061023,土地1建物1車位0,九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,62.739999999999995,1,1,1,有,有,11388000,181511,,0.0,0,,XQQOMLNJJHNFFBA87CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,4.74,商,,,1061023,土地1建物1車位0,九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,63.18,1,1,1,有,有,11466000,181481,,0.0,0,,YQQOMLNJJHNFFBA97CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,4.72,商,,,1061023,土地1建物1車位0,九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,62.739999999999995,1,1,1,有,有,11388000,181511,,0.0,0,,ZQQOMLNJJHNFFBA08CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,4.74,商,,,1061023,土地1建物1車位0,九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,63.010000000000005,1,1,1,有,有,11436000,181495,,0.0,0,,QRQOMLNJJHNFFBA27CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,7.66,商,,,1061023,土地1建物1車位0,九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,102.17999999999999,3,2,2,有,有,18546000,181503,,0.0,0,,RRQOMLNJJHNFFBA37CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,16.38,商,,,1061023,土地1建物1車位0,二十一層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,218.32,4,2,2,有,有,43586400,199645,,0.0,0,,SRQOMLNJJHNFFBA47CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,4.82,商,,,1061023,土地1建物1車位0,二十一層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,64.1,1,1,1,有,有,12797400,199647,,0.0,0,,TRQOMLNJJHNFFBA57CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,4.78,商,,,1061023,土地1建物1車位0,二十一層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,63.519999999999996,1,1,1,有,有,12678600,199600,,0.0,0,,URQOMLNJJHNFFBA67CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,16.45,商,,,1061023,土地1建物1車位0,二十一層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,219.54,4,2,2,有,有,43830600,199647,,0.0,0,,VRQOMLNJJHNFFBA77CA
萬華區,房地(土地+建物)+車位,臺北市萬華區成都路91~120號,17.46,商,,,1061023,土地1建物1車位86,二十二層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,3059.5,4,2,2,有,有,240786400,78701,坡道機械,0.0,197200000,,WRQOMLNJJHNFFBA87CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,4.82,商,,,1061023,土地1建物1車位0,二十二層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,64.1,1,1,1,有,有,12797400,199647,,0.0,0,,XRQOMLNJJHNFFBA97CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,4.78,商,,,1061023,土地1建物1車位0,二十二層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,63.519999999999996,1,1,1,有,有,12678600,199600,,0.0,0,,YRQOMLNJJHNFFBA08CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,16.28,商,,,1061023,土地1建物1車位0,二十二層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,214.83,4,2,2,有,有,42893400,199662,,0.0,0,,ZRQOMLNJJHNFFBA18CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,16.38,商,,,1061023,土地1建物1車位0,二十層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,218.32,4,2,2,有,有,43586400,199645,,0.0,0,,QSQOMLNJJHNFFBA37CA
萬華區,房地(土地+建物),臺北市萬華區成都路91~120號,4.82,商,,,1061023,土地1建物1車位0,二十層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1060418,64.1,1,1,1,有,有,12797400,199647,,0.0,0,,RSQOMLNJJHNFFBA47CA
