鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
中壢區,建物,桃園市中壢區環中東路二段481~510號,0.0,住,,,1061101,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810316,124.00999999999999,3,2,2,有,有,無,11500,93,,0.0,0,,RPUNMLPJKIMFFBH68CC
中壢區,建物,桃園市中壢區大勇二街1~30號,0.0,住,,,1061101,土地0建物1車位0,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841008,105.28,3,2,2,有,有,有,12000,114,,0.0,0,,RPUOMLPJKIMFFBH78CC
中壢區,建物,桃園市中壢區新興路230巷1~30號,0.0,商,,,1061101,土地0建物1車位0,十層,20,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040915,115.94,3,2,2,有,有,無,24000,207,,0.0,0,,RPVOMLPJKIMFFBH88CC
中壢區,建物,桃園市中壢區南園二路57巷18弄1~30號,0.0,住,,,1061101,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710823,99.52,3,2,2,有,無,無,8500,85,,0.0,0,,RPROMLQJKIMFFBH58CC
平鎮區,建物,桃園市平鎮區正義路59巷12弄2衖1~30號,0.0,,特定農業區,甲種建築用地,1061101,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0840810,229.29,5,2,4,有,有,無,16000,70,,0.0,0,,RPPQMLQJKIMFFGH09CC
中壢區,房地(土地+建物),桃園市中壢區莊敬路781~810號,97.0,住,,,1061201,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1050114,50.87,0,0,1,有,無,無,27000,531,,0.0,0,,RPWOMLQJKIMFFBH56DC
桃園區,房地(土地+建物)+車位,桃園市桃園區桃鶯路31~60號,12.02,商,,,1061101,土地2建物1車位1,十六層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050713,125.46,2,2,1,有,有,有,20000,159,坡道平面,8.31,0,,RPOPMLRJKIMFFAH48DC
中壢區,建物,桃園市中壢區元化路165巷1~30號,0.0,住,,,1061101,土地0建物1車位0,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821023,74.77000000000001,2,1,1,有,有,有,8000,107,,0.0,0,,RPOTMLRJKIMFFBH88CC
蘆竹區,建物,桃園市蘆竹區中山北街31~60號,0.0,住,,,1061101,土地0建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980630,96.97999999999999,2,1,1,有,有,有,15500,160,坡道機械,16.57,0,,RPTNMLRJKIMFFEH09CC
八德區,建物,桃園市八德區和平路91~120號,0.0,住,,,1061101,土地0建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020701,132.71,3,2,2,有,有,有,16000,121,坡道平面,36.13,0,,RPQNMLRJKIMFFFH88CC
蘆竹區,土地,南崁段181~210地號,102.65,住,,,1061101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,88000,857,,0.0,0,,RPQOMLSJKIMFFEH98CC
大溪區,房地(土地+建物),桃園市大溪區華興街1~30號,29.98,住,,,1061101,土地1建物1車位0,三層,3,公寓(5樓含以下無電梯),住家用,加強磚造,0670130,64.48,3,2,1,有,無,無,8000,124,,0.0,0,,RPSNMLSJKIMFFCH88CC
桃園區,建物,桃園市桃園區大興路1~30號,0.0,住,,,1061101,土地0建物2車位0,見其他登記事項,1,店面(店鋪),住商用,鋼造,0801220,287.65,0,0,0,無,無,無,230000,800,,0.0,0,租金調整:第1-4年每月230,000元，第5-7年每月241,500元，第8-10年每月253,575元。年度營業額超過1億，超過部份抽成3%。,RPRPMLSJKIMFFAH78CC
中壢區,建物,桃園市中壢區榮安一街301~330號,0.0,其他,,,1061101,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900716,69.58,2,1,1,有,有,有,12000,172,,0.0,0,,RPTOMLSJKIMFFBH98CC
中壢區,建物,桃園市中壢區內定二十街15巷1~30號,0.0,其他,,,1061101,土地0建物1車位0,見其他登記事項,4,工廠,見其他登記事項,鋼筋混凝土造,0830713,383.48,0,0,0,無,有,無,28000,,,0.0,0,若電力契約容量超過 49KW 押金加收28000,RPVOMLSJKIMFFBH56CC
中壢區,建物,桃園市中壢區南園二路296巷31~60號,0.0,住,,,1061101,土地0建物1車位1,四層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030628,116.15,3,2,2,有,有,無,15000,129,坡道平面,33.32,0,,RPOPMLSJKIMFFBH58CC
中壢區,房地(土地+建物),桃園市中壢區龍岡路二段73巷1~30號,29.75,住,,,1061101,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,見其他登記事項,0961212,14.67,1,0,1,有,有,有,6000,409,,0.0,0,,RPXSMLSJKIMFFBH17CC
八德區,房地(土地+建物),桃園市八德區興仁路31~60號,14.63,住,,,1061201,土地1建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851001,86.45,4,2,2,有,有,有,10000,116,,0.0,0,,RPQNMLTJKIMFFFH09CC
