鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
西區,房地(土地+建物),臺中市西區英才路421~450號,20.68,住,,,1061103,土地1建物1車位0,七層,14,辦公商業大樓,商業用,鋼筋混凝土造,0780508,222.96999999999997,0,0,0,無,有,無,35000,157,,0.0,0,,RPQOMLNLJIMFFAB57CC
西區,房地(土地+建物)+車位,臺中市西區精誠路1~30號,3.45,住,,,1061108,土地1建物1車位1,五層,7,辦公商業大樓,商業用,鋼筋混凝土造,0800926,86.34,0,0,0,無,有,無,13000,151,坡道平面,0.0,0,,RPTOMLNLJIMFFAB87CC
西區,房地(土地+建物),臺中市西區精誠路1~30號,32.58,住,,,1061116,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701111,85.1,0,0,0,無,無,無,18000,212,,0.0,0,,RPPPMLNLJIMFFAB57CC
西區,房地(土地+建物),臺中市西區三民路一段151~180號,33.84,商,,,1061122,土地2建物1車位0,全,4,透天厝,住家用,見其他登記事項,0581015,131.6,0,0,0,無,無,無,30000,228,,0.0,0,,RPQPMLNLJIMFFAB67CC
西區,房地(土地+建物),臺中市西區五權路2之192巷1~30號,10.43,商,,,1061028,土地1建物1車位0,二層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0960614,141.34,3,2,2,有,有,有,21000,149,,0.0,0,,RPUPMLNLJIMFFAB08CC
西屯區,房地(土地+建物)+車位,臺中市西屯區玉門路481~510號,16.77,住,,,1061116,土地1建物1車位1,十一層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970630,185.4,4,2,2,有,有,有,30000,162,坡道平面,19.55,0,,RPSNMLNLJIMFFCB87CC
西屯區,房地(土地+建物)+車位,臺中市西屯區朝富路211~240號,17.95,其他,,,1061103,土地1建物1車位1,十層,34,辦公商業大樓,見其他登記事項,鋼骨鋼筋混凝土造,1040924,304.88,0,0,0,無,有,無,70820,232,坡道平面,0.0,0,,RPVNMLNLJIMFFCB18CC
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北七路181~210號,12.14,其他,,,1061106,土地1建物1車位2,九層,28,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1060321,209.31,0,0,0,無,有,無,56760,271,坡道機械,0.0,0,,RPXNMLNLJIMFFCB38CC
西屯區,房地(土地+建物)+車位,臺中市西屯區市政路361~390號,45.31,其他,,,1061106,土地1建物2車位3,十四層,38,辦公商業大樓,見其他登記事項,見其他登記事項,0990604,777.48,0,0,0,無,有,無,160000,206,坡道平面,0.0,0,,RPPOMLNLJIMFFCB67CC
南屯區,房地(土地+建物),臺中市南屯區大進街481~510號,30.73,住,,,1061113,土地1建物0車位0,三層,10,辦公商業大樓,商業用,鋼筋混凝土造,0810616,89.57000000000001,0,0,0,無,無,無,12000,134,,0.0,0,,RPWOMLNLJIMFFCB38CC
