鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
苓雅區,房地(土地+建物),高雄市苓雅區高雄市苓雅區武仁街151~180號,80.0,住,,,1061113,土地1建物1車位0,見其他登記事項,4,店面(店鋪),,鋼筋混凝土造,0660506,62.56,0,0,0,無,無,無,13000,208,,0.0,0,,RPPOMLKMJIMFFBE67CC
苓雅區,房地(土地+建物),高雄市苓雅區高雄市苓雅區武仁街151~180號,80.0,住,,,1061113,土地1建物1車位0,全,4,透天厝,,鋼筋混凝土造,0660506,157.71,6,2,4,有,無,無,7000,44,,0.0,0,,RPQOMLKMJIMFFBE77CC
鼓山區,房地(土地+建物),高雄市鼓山區中華一路29巷48弄61~90號,362.0,住,,,1061126,土地1建物1車位0,三層,4,公寓(5樓含以下無電梯),,鋼筋混凝土造,0670519,98.03,3,2,2,有,無,有,10000,102,,0.0,0,,RPVNMLKMJIMFFAE08CC
前鎮區,房地(土地+建物)+車位,高雄市前鎮區光華三路211~240號,21.95,商,,,1061107,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,0951121,251.18,4,2,2,有,有,有,33750,134,坡道平面,0.0,0,,RPPNMLKMJIMFFCE67CC
鳳山區,房地(土地+建物),高雄市鳳山區南華一路61~90號,830.94,住,,,1061031,土地1建物1車位0,見其他登記事項,1,店面(店鋪),見其他登記事項,見其他登記事項,1021108,440.39,0,0,0,無,無,無,50000,114,,0.0,0,,RPPNMLKMJIMFFGE08CC
鳳山區,房地(土地+建物),高雄市鳳山區民興路31~60號,62.0,住,,,1061123,土地1建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0781102,2288.84,5,2,4,有,無,無,18000,8,,0.0,0,,RPTOMLKMJIMFFGE58CC
苓雅區,房地(土地+建物),高雄市苓雅區英明路181~210號,241.0,住,,,1061129,土地1建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,1030407,181.82,0,0,0,無,無,有,30000,165,,0.0,0,,RPTNMLKMJIMFFBE08DC
左營區,土地,新庄段七小段631~660地號,819.0,住,,,1061109,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,57000,70,,0.0,0,,RPXNMLKMJIMFFEE68CC
三民區,房地(土地+建物),高雄市三民區大豐二路391~420號,54.0,商,,,1061129,土地1建物1車位0,全,4,透天厝,,鋼筋混凝土造,0771104,189.58,5,2,4,有,無,有,25000,132,,0.0,0,,RPPNMLKMJIMFFDE77CC
三民區,房地(土地+建物),高雄市三民區鼎山街241~270號,801.27,住,,,1061106,土地1建物1車位0,見其他登記事項,2,店面(店鋪),商業用,鋼筋混凝土造,0960126,71.86,0,0,0,無,無,無,50000,696,,0.0,0,,RPRNMLKMJIMFFDE97CC
三民區,房地(土地+建物),高雄市三民區高雄市三民區大福街40巷79弄1~30號,21.12,住,,,1061119,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810817,117.24,4,1,2,有,無,有,12000,102,,0.0,0,,RPPOMLKMJIMFFDE87CC
三民區,房地(土地+建物),高雄市三民區光富路31~60號,24.82,住,,,1061124,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0731008,104.43,3,2,2,有,無,有,10000,96,,0.0,0,,RPQOMLKMJIMFFDE97CC
